Water [kg],Cement [kg],Sand [kg],CA [kg],smax [mm],SP [kg],Fiber type,ρf,ff [MPa],Vf [%],df [mm],Lf [mm],fst [MPa],w/c,s/a,a/c,Lf /df ,ρfLf /df ,Lf_df_ratio,rho_f_x_Lf_df,fiber_factor
166.0,286.0,739.0,1236.0,20,0.0,Crimped,0.75,600.0,0.5,0.75,35.0,3.97,0.58041958041958,0.374177215189873,6.90559440559441,46.6666666666667,35.0,46.6666666666667,35.0,23.3333333333333
166.0,286.0,739.0,1214.0,20,0.0,Crimped,0.75,600.0,1.0,0.75,35.0,4.21,0.58041958041958,0.378392217101895,6.82867132867133,46.6666666666667,35.0,46.6666666666667,35.0,46.6666666666667
166.0,286.0,739.0,1192.0,20,0.0,Crimped,0.75,600.0,1.5,0.75,35.0,4.65,0.58041958041958,0.38270326255826,6.75174825174825,46.6666666666667,35.0,46.6666666666667,35.0,70.0
166.0,286.0,739.0,1170.0,20,0.572,Crimped,0.75,600.0,2.0,0.75,35.0,5.18,0.58041958041958,0.387113672079623,6.67482517482518,46.6666666666667,35.0,46.6666666666667,35.0,93.3333333333333
166.0,286.0,739.0,1236.0,20,0.0,Crimped,0.75,600.0,0.5,0.75,35.0,3.89,0.58041958041958,0.374177215189873,6.90559440559441,46.6666666666667,35.0,46.6666666666667,35.0,23.3333333333333
166.0,286.0,739.0,1214.0,20,0.0,Crimped,0.75,600.0,1.0,0.75,35.0,4.76,0.58041958041958,0.378392217101895,6.82867132867133,46.6666666666667,35.0,46.6666666666667,35.0,46.6666666666667
166.0,286.0,739.0,1192.0,20,0.0,Crimped,0.75,600.0,1.5,0.75,35.0,4.83,0.58041958041958,0.38270326255826,6.75174825174825,46.6666666666667,35.0,46.6666666666667,35.0,70.0
166.0,286.0,739.0,1170.0,20,0.572,Crimped,0.75,600.0,2.0,0.75,35.0,5.44,0.58041958041958,0.387113672079623,6.67482517482518,46.6666666666667,35.0,46.6666666666667,35.0,93.3333333333333
165.0,367.0,765.0,1146.0,16,2.202,No fiber,0.0,0.0,0.0,0.0,0.0,5.80952380952381,0.449591280653951,0.400313971742543,5.20708446866485,0.0,0.0,0.0,0.0,0.0
165.0,367.0,735.0,1102.0,16,2.202,Crimped,0.75,380.0,0.5,0.5,30.0,7.71428571428571,0.449591280653951,0.400108873162765,5.00544959128065,60.0,45.0,60.0,45.0,30.0
165.0,367.0,733.0,1100.0,16,2.202,Crimped,0.75,380.0,1.0,0.5,30.0,8.76190476190476,0.449591280653951,0.399890889252591,4.99455040871935,60.0,45.0,60.0,45.0,60.0
165.0,367.0,718.0,1066.0,16,2.202,Crimped,0.75,380.0,1.5,0.5,30.0,10.4761904761905,0.449591280653951,0.402466367713004,4.86103542234332,60.0,45.0,60.0,45.0,90.0
165.0,367.0,702.0,1053.0,16,2.202,Crimped,0.75,380.0,2.0,0.5,30.0,6.85714285714286,0.449591280653951,0.4,4.78201634877384,60.0,45.0,60.0,45.0,120.0
175.0,440.0,749.0,1079.0,20,3.52,No fiber,0.0,0.0,0.0,0.0,0.0,4.86666666666667,0.397727272727273,0.409737417943107,4.15454545454545,0.0,0.0,0.0,0.0,0.0
178.0,445.0,804.0,988.0,20,3.56,Chopped with butt ends,0.5,1325.0,1.0,0.6,35.0,7.13333333333333,0.4,0.448660714285714,4.02696629213483,58.3333333333333,29.1666666666667,58.3333333333333,29.1666666666667,58.3333333333333
180.0,450.0,860.0,897.0,20,3.6,Chopped with butt ends,0.5,1325.0,2.0,0.6,35.0,8.30476190476191,0.4,0.489470688673876,3.90444444444444,58.3333333333333,29.1666666666667,58.3333333333333,29.1666666666667,116.666666666667
185.0,460.0,880.0,844.0,20,3.68,Chopped with butt ends,0.5,1325.0,3.0,0.6,35.0,10.1904761904762,0.402173913043478,0.510440835266821,3.74782608695652,58.3333333333333,29.1666666666667,58.3333333333333,29.1666666666667,175.0
195.0,415.0,610.0,1182.0,20,0.0,No fiber,0.0,0.0,0.0,0.0,0.0,2.27,0.469879518072289,0.340401785714286,4.31807228915663,0.0,0.0,0.0,0.0,0.0
195.0,415.0,610.0,1182.0,20,0.0,Hooked,1.0,1000.0,0.5,0.75,32.0,3.0,0.469879518072289,0.340401785714286,4.31807228915663,42.6666666666667,42.6666666666667,42.6666666666667,42.6666666666667,21.3333333333333
195.0,415.0,610.0,1182.0,20,0.0,Hooked,1.0,1000.0,1.0,0.75,32.0,3.88,0.469879518072289,0.340401785714286,4.31807228915663,42.6666666666667,42.6666666666667,42.6666666666667,42.6666666666667,42.6666666666667
195.0,415.0,610.0,1182.0,20,0.0,Hooked,1.0,1000.0,1.5,0.75,32.0,5.17,0.469879518072289,0.340401785714286,4.31807228915663,42.6666666666667,42.6666666666667,42.6666666666667,42.6666666666667,64.0
195.0,511.0,576.0,1118.0,20,0.0,No fiber,0.0,0.0,0.0,0.0,0.0,2.48,0.38160469667319,0.340023612750885,3.31506849315068,0.0,0.0,0.0,0.0,0.0
195.0,511.0,576.0,1118.0,20,0.0,Hooked,1.0,1000.0,0.5,0.75,32.0,3.46,0.38160469667319,0.340023612750885,3.31506849315068,42.6666666666667,42.6666666666667,42.6666666666667,42.6666666666667,21.3333333333333
195.0,511.0,576.0,1118.0,20,0.0,Hooked,1.0,1000.0,1.0,0.75,32.0,4.62,0.38160469667319,0.340023612750885,3.31506849315068,42.6666666666667,42.6666666666667,42.6666666666667,42.6666666666667,42.6666666666667
195.0,511.0,576.0,1118.0,20,0.0,Hooked,1.0,1000.0,1.5,0.75,32.0,5.7,0.38160469667319,0.340023612750885,3.31506849315068,42.6666666666667,42.6666666666667,42.6666666666667,42.6666666666667,64.0
200.0,651.0,527.0,1022.0,20,0.0,No fiber,0.0,0.0,0.0,0.0,0.0,2.76,0.307219662058372,0.340219496449322,2.37941628264209,0.0,0.0,0.0,0.0,0.0
200.0,651.0,527.0,1022.0,20,0.0,Hooked,1.0,1000.0,0.5,0.75,32.0,4.32,0.307219662058372,0.340219496449322,2.37941628264209,42.6666666666667,42.6666666666667,42.6666666666667,42.6666666666667,21.3333333333333
200.0,651.0,527.0,1022.0,20,0.0,Hooked,1.0,1000.0,1.0,0.75,32.0,5.08,0.307219662058372,0.340219496449322,2.37941628264209,42.6666666666667,42.6666666666667,42.6666666666667,42.6666666666667,42.6666666666667
