Water [kg],Cement [kg],Sand [kg],CA [kg],smax [mm],SP [kg],Fiber type,ρf,Vf [%],df [mm],Lf [mm],fcy [MPa],w/c,s/a,a/c,Lf /df ,ρfLf /df ,Lf_df_ratio,rho_f_x_Lf_df,fiber_factor
161.0,460.0,1150.0,1048.8,20.0,18.4,Mill-cut,0.5,0.4,0.8,32.0,34.7619047619048,0.35,0.523012552301255,4.78,40.0,20.0,40.0,20.0,16.0
161.0,460.0,1150.0,1048.8,20.0,18.4,Mill-cut,0.5,0.8,0.8,32.0,38.6666666666667,0.35,0.523012552301255,4.78,40.0,20.0,40.0,20.0,32.0
161.0,460.0,1150.0,1048.8,20.0,18.4,Mill-cut,0.5,1.2,0.8,32.0,40.5714285714286,0.35,0.523012552301255,4.78,40.0,20.0,40.0,20.0,48.0
161.0,460.0,1150.0,1048.8,20.0,18.4,Mill-cut,0.5,1.6,0.8,32.0,39.9047619047619,0.35,0.523012552301255,4.78,40.0,20.0,40.0,20.0,64.0
215.52,480.0,825.0,880.0,25.0,8.0,No fiber,0.0,0.0,0.0,0.0,41.02,0.449,0.483870967741935,3.55208333333333,0.0,0.0,0.0,0.0,0.0
215.52,480.0,825.0,880.0,25.0,8.0,Mill-cut,0.5,0.256410256410256,0.5,38.0,49.3,0.449,0.483870967741935,3.55208333333333,76.0,38.0,76.0,38.0,19.4871794871795
215.52,480.0,825.0,880.0,25.0,8.0,Mill-cut,0.5,0.384615384615385,0.5,38.0,40.63,0.449,0.483870967741935,3.55208333333333,76.0,38.0,76.0,38.0,29.2307692307692
215.52,480.0,825.0,880.0,25.0,8.0,Mill-cut,0.5,0.512820512820513,0.5,38.0,41.3,0.449,0.483870967741935,3.55208333333333,76.0,38.0,76.0,38.0,38.974358974359
160.0,258.0,753.0,1229.0,20.0,0.0,No fiber,0.0,0.0,0.0,0.0,26.97,0.62015503875969,0.37991927346115,7.68217054263566,0.0,0.0,0.0,0.0,0.0
160.0,267.0,691.0,1283.0,20.0,0.0,No fiber,0.0,0.0,0.0,0.0,37.35,0.599250936329588,0.350050658561297,7.39325842696629,0.0,0.0,0.0,0.0,0.0
195.0,415.0,627.0,1164.0,20.0,0.0,No fiber,0.0,0.0,0.0,0.0,39.6,0.469879518072289,0.350083752093802,4.31566265060241,0.0,0.0,0.0,0.0,0.0
200.0,513.0,540.0,1147.0,20.0,0.0,No fiber,0.0,0.0,0.0,0.0,46.96,0.389863547758285,0.32009484291642,3.28849902534113,0.0,0.0,0.0,0.0,0.0
160.0,267.0,829.0,1145.0,20.0,0.0,Hooked,1.0,0.4,0.9,50.0,38.08,0.599250936329588,0.419959473150962,7.39325842696629,55.5555555555556,55.5555555555556,55.5555555555556,55.5555555555556,22.2222222222222
160.0,267.0,868.0,1105.0,20.0,0.0,Hooked,1.0,0.4,0.75,35.0,38.73,0.599250936329588,0.439939178915357,7.38951310861423,46.6666666666667,46.6666666666667,46.6666666666667,46.6666666666667,18.6666666666667
160.0,267.0,770.0,1204.0,20.0,0.0,Hooked,1.0,0.4,0.55,35.0,36.5,0.599250936329588,0.390070921985816,7.39325842696629,63.6363636363636,63.6363636363636,63.6363636363636,63.6363636363636,25.4545454545454
160.0,267.0,829.0,1145.0,20.0,0.0,Hooked,1.0,0.4,0.62,35.0,39.23,0.599250936329588,0.419959473150962,7.39325842696629,56.4516129032258,56.4516129032258,56.4516129032258,56.4516129032258,22.5806451612903
160.0,267.0,829.0,1145.0,20.0,0.0,Mill-cut,0.5,0.4,1.15,32.0,38.42,0.599250936329588,0.419959473150962,7.39325842696629,27.8260869565217,13.9130434782609,27.8260869565217,13.9130434782609,11.1304347826087
160.0,267.0,829.0,1145.0,20.0,0.0,Crimped,0.75,0.4,0.618,35.0,42.65,0.599250936329588,0.419959473150962,7.39325842696629,56.6343042071197,42.4757281553398,56.6343042071197,42.4757281553398,22.6537216828479
160.0,267.0,770.0,1204.0,20.0,0.0,Hooked,1.0,0.2,0.62,35.0,36.12,0.599250936329588,0.390070921985816,7.39325842696629,56.4516129032258,56.4516129032258,56.4516129032258,56.4516129032258,11.2903225806452
165.0,275.0,823.0,1137.0,20.0,0.0,Hooked,1.0,0.5,0.62,35.0,41.65,0.6,0.419897959183673,7.12727272727273,56.4516129032258,56.4516129032258,56.4516129032258,56.4516129032258,28.2258064516129
170.0,283.0,837.0,1110.0,20.0,0.0,Hooked,1.0,0.7,0.62,35.0,37.78,0.600706713780919,0.429892141756548,6.87985865724382,56.4516129032258,56.4516129032258,56.4516129032258,56.4516129032258,39.5161290322581
160.0,258.0,832.0,1150.0,20.0,0.0,Hooked,1.0,0.4,0.62,35.0,32.36,0.62015503875969,0.419778002018163,7.68217054263566,56.4516129032258,56.4516129032258,56.4516129032258,56.4516129032258,22.5806451612903
